"日期","收市","開市","高","低","成交量","更改%"
"2022年1月10日","3,059.61","3,150.27","3,179.96","3,059.47","436.07K","-2.88%"
"2022年1月9日","3,150.30","3,079.89","3,210.34","3,060.47","415.87K","2.28%"
"2022年1月8日","3,080.02","3,198.14","3,244.46","3,001.76","566.06K","-3.61%"
"2022年1月7日","3,195.31","3,407.22","3,413.26","3,077.30","979.25K","-6.23%"
"2022年1月6日","3,407.77","3,536.15","3,550.19","3,306.14","701.89K","-3.62%"
"2022年1月5日","3,535.86","3,784.47","3,846.44","3,418.46","582.71K","-6.69%"
"2022年1月4日","3,789.52","3,764.62","3,889.07","3,715.24","415.81K","0.67%"
"2022年1月3日","3,764.24","3,830.70","3,849.50","3,682.48","338.51K","-1.73%"
"2022年1月2日","3,830.67","3,765.67","3,851.16","3,718.33","242.55K","1.73%"
"2022年1月1日","3,765.67","3,677.69","3,775.20","3,675.75","239.54K","2.39%"
"2021年12月31日","3,677.85","3,709.38","3,812.01","3,623.74","405.65K","-0.85%"
"2021年12月30日","3,709.57","3,629.33","3,767.93","3,589.64","355.72K","2.25%"
"2021年12月29日","3,627.93","3,792.95","3,825.97","3,607.20","456.03K","-4.32%"
"2021年12月28日","3,791.69","4,036.86","4,036.86","3,760.86","527.23K","-6.06%"
"2021年12月27日","4,036.24","4,062.02","4,125.22","4,033.04","313.32K","-0.62%"
"2021年12月26日","4,061.27","4,093.38","4,104.23","4,005.38","283.58K","-0.78%"
"2021年12月25日","4,093.14","4,043.60","4,136.03","4,024.87","308.53K","1.23%"
"2021年12月24日","4,043.39","4,110.20","4,133.77","4,024.24","353.85K","-1.62%"
"2021年12月23日","4,110.14","3,979.57","4,149.17","3,895.89","573.18K","3.28%"
"2021年12月22日","3,979.54","4,016.25","4,072.40","3,944.15","426.43K","-0.92%"
"2021年12月21日","4,016.59","3,944.03","4,058.76","3,915.56","496.71K","1.98%"
"2021年12月20日","3,938.80","3,925.46","3,978.66","3,757.42","531.11K","0.34%"
"2021年12月19日","3,925.34","3,959.90","4,025.36","3,890.90","442.49K","-0.87%"
"2021年12月18日","3,959.83","3,878.20","3,993.05","3,769.91","475.86K","2.10%"
"2021年12月17日","3,878.29","3,957.12","3,993.87","3,702.33","654.90K","-1.98%"
"2021年12月16日","3,956.62","4,019.57","4,108.24","3,955.46","512.12K","-1.56%"
"2021年12月15日","4,019.24","3,860.51","4,090.15","3,649.69","821.22K","4.08%"
"2021年12月14日","3,861.55","3,782.12","3,879.43","3,690.06","577.61K","2.11%"
"2021年12月13日","3,781.94","4,131.47","4,141.27","3,673.19","891.67K","-8.47%"
"2021年12月12日","4,131.78","4,078.17","4,173.21","3,988.29","360.45K","1.38%"
"2021年12月11日","4,075.66","3,903.52","4,094.92","3,836.92","581.26K","4.41%"
"2021年12月10日","3,903.48","4,107.20","4,226.79","3,894.03","798.12K","-4.97%"
"2021年12月9日","4,107.69","4,435.74","4,482.89","4,078.14","642.17K","-7.40%"
"2021年12月8日","4,435.74","4,307.08","4,449.69","4,229.63","574.33K","2.99%"
"2021年12月7日","4,307.08","4,351.36","4,424.20","4,259.45","550.78K","-1.06%"
"2021年12月6日","4,353.31","4,194.95","4,373.23","3,922.65","993.79K","3.78%"
"2021年12月5日","4,194.80","4,118.27","4,247.38","4,036.00","707.69K","1.73%"
"2021年12月4日","4,123.46","4,219.30","4,237.56","3,533.02","1.52M","-2.27%"
